epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),recall,mAP50,mAP50-95,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.191,1.68864,2.54976,1.58305,0.84439,0.16252,0.44244,0.2204,1.5716,2.97565,1.50542,0.000653846,0.000653846,0.000653846
2,457.779,1.64156,2.00361,1.51757,0.56014,0.45591,0.46652,0.23289,1.66541,2.50047,1.72969,0.0013179,0.0013179,0.0013179
3,691.276,1.70445,1.94425,1.60671,0.4345,0.43978,0.37733,0.18466,1.76739,5.23518,1.7824,0.00197931,0.00197931,0.00197931
4,919.45,1.70203,1.82351,1.54335,0.55419,0.55408,0.56815,0.28816,1.70629,2.69779,1.65592,0.00198812,0.00198812,0.00198812
5,1233.62,1.67183,1.73757,1.5402,0.58249,0.54409,0.56171,0.3003,1.68928,2.6143,1.63651,0.00198416,0.00198416,0.00198416
6,3745.08,1.64364,1.62529,1.51127,0.56155,0.52246,0.5454,0.27827,1.76335,1.80057,1.6289,0.0019802,0.0019802,0.0019802
7,4003.9,1.62801,1.60907,1.49909,0.6106,0.54576,0.58867,0.31962,1.55696,2.6736,1.52539,0.00197624,0.00197624,0.00197624
8,4229.9,1.62143,1.53559,1.48544,0.64729,0.55574,0.62647,0.34778,1.5607,1.70901,1.49351,0.00197228,0.00197228,0.00197228
9,4456.94,1.601,1.54913,1.47082,0.6516,0.56949,0.61042,0.32237,1.72893,1.58319,1.58088,0.00196832,0.00196832,0.00196832
10,4737.6,1.56456,1.49295,1.44821,0.64322,0.56406,0.62195,0.34061,1.63456,1.59953,1.54893,0.00196436,0.00196436,0.00196436
11,5168.85,1.60635,1.50535,1.47284,0.64008,0.61252,0.62921,0.33401,1.66239,1.63689,1.54789,0.0019604,0.0019604,0.0019604
12,5416.95,1.60093,1.49109,1.471,0.50836,0.49917,0.4969,0.25682,1.64373,1.99264,1.59497,0.00195644,0.00195644,0.00195644
13,5640.63,1.5943,1.44526,1.45663,0.71404,0.58569,0.66946,0.37341,1.57801,1.42816,1.48574,0.00195248,0.00195248,0.00195248
14,5868.66,1.55433,1.39604,1.44973,0.66542,0.60888,0.66421,0.36195,1.63751,1.44688,1.51365,0.00194852,0.00194852,0.00194852
15,6095.37,1.55865,1.44715,1.46466,0.5688,0.59235,0.60108,0.3255,1.57526,1.60899,1.50494,0.00194456,0.00194456,0.00194456
16,6321.34,1.5373,1.40254,1.43987,0.68876,0.57571,0.66856,0.37831,1.55845,1.42312,1.48025,0.0019406,0.0019406,0.0019406
17,6547.5,1.57042,1.39702,1.4562,0.65966,0.57737,0.65219,0.36354,1.55047,1.43274,1.48877,0.00193664,0.00193664,0.00193664
18,6774.05,1.56232,1.37499,1.44607,0.62633,0.5624,0.60261,0.31857,1.64003,1.57769,1.53062,0.00193268,0.00193268,0.00193268
19,7002.41,1.53273,1.37911,1.41376,0.63756,0.57571,0.64154,0.37037,1.54634,1.45083,1.45615,0.00192872,0.00192872,0.00192872
20,7232.82,1.55144,1.38534,1.43925,0.69843,0.62396,0.68839,0.39062,1.52462,1.43085,1.47528,0.00192476,0.00192476,0.00192476
21,7460.64,1.55171,1.3664,1.4615,0.67258,0.5807,0.66137,0.37724,1.55369,1.45717,1.46959,0.0019208,0.0019208,0.0019208
22,7691.13,1.51439,1.32424,1.41537,0.67338,0.60067,0.66688,0.39118,1.4764,1.36883,1.40078,0.00191684,0.00191684,0.00191684
23,7920.54,1.53237,1.34574,1.43693,0.63344,0.56572,0.64783,0.355,1.61285,1.45019,1.48329,0.00191288,0.00191288,0.00191288
24,8150.61,1.5039,1.33062,1.40564,0.69926,0.59192,0.68639,0.39665,1.52765,1.32495,1.47168,0.00190892,0.00190892,0.00190892
25,8382.14,1.50798,1.33682,1.42187,0.6519,0.62729,0.67537,0.38613,1.50714,1.36665,1.44218,0.00190496,0.00190496,0.00190496
26,8616.6,1.51811,1.31316,1.41023,0.69467,0.60732,0.69161,0.3831,1.58534,1.39349,1.49225,0.001901,0.001901,0.001901
27,8849.42,1.52402,1.29949,1.42635,0.64575,0.57404,0.63062,0.3439,1.65259,1.46271,1.5207,0.00189704,0.00189704,0.00189704
28,9083.02,1.48376,1.2561,1.39069,0.7048,0.59567,0.67993,0.40047,1.51382,1.35131,1.44218,0.00189308,0.00189308,0.00189308
29,9314.35,1.48934,1.27497,1.40148,0.69855,0.58994,0.68076,0.39629,1.54137,1.32005,1.44808,0.00188912,0.00188912,0.00188912
